version,size,processes,tolerance,status,iterations,residual,relative_l2_error,checksum,total_seconds,compute_seconds,halo_issue_seconds,halo_wait_seconds,reduction_seconds
mpi_blocking,2048,2,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741164945,399.95306600056546,1.057423736,1.049356684,0.000000000,0.006131726,0.003049121
mpi_blocking,2048,2,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741164945,399.95306600056546,1.060884229,1.052622679,0.000000000,0.006065862,0.006492876
mpi_blocking,2048,2,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741164945,399.95306600056546,1.062560043,1.054602833,0.000000000,0.006164475,0.010085805
mpi_overlap,2048,2,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741164945,399.95306600056546,1.060713153,1.056090089,0.000609383,0.009367557,0.003748577
mpi_overlap,2048,2,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741164945,399.95306600056546,1.060068904,1.053978519,0.000448654,0.006677725,0.001280435
mpi_overlap,2048,2,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741164945,399.95306600056546,1.062075964,1.056131600,0.000453311,0.008627199,0.001631658
mpi_overlap,2048,2,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741164945,399.95306600056546,1.056785106,1.051924871,0.000381139,0.009541778,0.001538280
mpi_overlap,2048,2,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741164945,399.95306600056546,1.070890563,1.062567746,0.000413962,0.007142675,0.001340656
mpi_blocking,2048,4,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741168076,399.95306600054982,0.949798555,0.934840576,0.000000000,0.006683405,0.022958396
mpi_blocking,2048,4,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741168076,399.95306600054982,0.933524138,0.923441083,0.000000000,0.005943040,0.009728958
mpi_blocking,2048,4,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741168076,399.95306600054982,0.935592796,0.923106584,0.000000000,0.006050707,0.008393347
mpi_blocking,2048,4,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741168076,399.95306600054982,0.938520867,0.924018121,0.000000000,0.006142410,0.011105038
mpi_blocking,2048,4,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741168076,399.95306600054982,0.932983443,0.923834870,0.000000000,0.006064398,0.007536565
mpi_overlap,2048,4,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741168076,399.95306600054982,0.932468230,0.922610237,0.000625077,0.008215889,0.005678015
mpi_overlap,2048,4,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741168076,399.95306600054982,0.932387817,0.922161850,0.000555617,0.009675359,0.006032037
mpi_overlap,2048,4,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741168076,399.95306600054982,0.930306069,0.922324860,0.000691335,0.010709795,0.003890760
mpi_overlap,2048,4,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741168076,399.95306600054982,0.931421868,0.921913159,0.000472075,0.008974837,0.005000428
mpi_overlap,2048,4,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741168076,399.95306600054982,0.931738160,0.922762540,0.000657153,0.007412971,0.004457990
mpi_blocking,2048,8,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741170829,399.95306600054738,0.980920558,0.938774102,0.000000000,0.013351876,0.048640737
mpi_blocking,2048,8,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741170829,399.95306600054738,0.979627798,0.940560505,0.000000000,0.008797609,0.052492592
mpi_blocking,2048,8,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741170829,399.95306600054738,0.964584661,0.940602554,0.000000000,0.007839259,0.030411158
mpi_blocking,2048,8,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741170829,399.95306600054738,0.959648394,0.941549714,0.000000000,0.008393956,0.032694575
mpi_blocking,2048,8,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741170829,399.95306600054738,0.962258397,0.940854235,0.000000000,0.008113065,0.031258819
mpi_overlap,2048,8,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741170829,399.95306600054738,0.967195863,0.938319866,0.002905415,0.029313522,0.027502588
mpi_overlap,2048,8,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741170829,399.95306600054738,0.956324619,0.939569444,0.000761380,0.024571882,0.015887927
mpi_overlap,2048,8,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741170829,399.95306600054738,0.956840812,0.940369738,0.000698865,0.025131121,0.017065568
mpi_overlap,2048,8,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741170829,399.95306600054738,0.955901180,0.937191652,0.001135825,0.026086889,0.016829824
mpi_overlap,2048,8,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741170829,399.95306600054738,0.959778938,0.937796474,0.000822614,0.026593635,0.022172172
serial,4096,1,9.9999999999999995e-07,fixed_iterations,200,19.738051097550802,0.99994120300731304,399.98826008591328,7.422738591,7.422711312,0.000000000,0.000000000,0.000000000
serial,4096,1,9.9999999999999995e-07,fixed_iterations,200,19.738051097550802,0.99994120300731304,399.98826008591328,7.424776812,7.424755878,0.000000000,0.000000000,0.000000000
serial,4096,1,9.9999999999999995e-07,fixed_iterations,200,19.738051097550802,0.99994120300731304,399.98826008591328,7.423439784,7.423418434,0.000000000,0.000000000,0.000000000
serial,4096,1,9.9999999999999995e-07,fixed_iterations,200,19.738051097550802,0.99994120300731304,399.98826008591328,7.434596035,7.434571492,0.000000000,0.000000000,0.000000000
serial,4096,1,9.9999999999999995e-07,fixed_iterations,200,19.738051097550802,0.99994120300731304,399.98826008591328,7.427333396,7.427307816,0.000000000,0.000000000,0.000000000
mpi_blocking,4096,1,9.9999999999999995e-07,fixed_iterations,200,19.738051097550802,0.99994120300731304,399.98826008591328,7.390634411,7.390263392,0.000000000,0.000071630,0.000212477
mpi_blocking,4096,1,9.9999999999999995e-07,fixed_iterations,200,19.738051097550802,0.99994120300731304,399.98826008591328,7.405503339,7.405131869,0.000000000,0.000066084,0.000223144
mpi_blocking,4096,1,9.9999999999999995e-07,fixed_iterations,200,19.738051097550802,0.99994120300731304,399.98826008591328,7.404537273,7.404131812,0.000000000,0.000081387,0.000230623
mpi_blocking,4096,1,9.9999999999999995e-07,fixed_iterations,200,19.738051097550802,0.99994120300731304,399.98826008591328,7.387815841,7.387426462,0.000000000,0.000074005,0.000221650
